stop_id,arrivals,stop_name,stop_desc,stop_lat,stop_lon,degree_centrality
160015531,24,"Av. Interlagos, 3024",Ref.: R Joao Scatamacchia/ R Joao Bressane,-23.67784,-46.683426,0.00014353380221042054
760012111,24,"Av. Mal. Tito, 911",Ref.: R Quinta De Monserrate/ R Ribeiro Dos Santos,-23.495062,-46.435489,0.00023922300368403425
720015652,23,Marechal Deodoro B/C,"Av. Ver. José Diniz, 141 Ref.: R Marechal Deodoro/ Av Adolfo Pinheiro",-23.640585,-46.697197,0.00014353380221042054
260016732,23,"Av. Dr. Arnaldo, 188",Ref.: R Joao Florencio/ R Professor Ernest Marcus,-23.555594,-46.666878,0.0002870676044208411
640000382,23,Guerino B/C,"Av. Raimundo Pereira De Magalhães, 5420 Ref.: Av Miguel De Castro/ R Mal. Mendes De Morais",-23.484536,-46.722711,0.000621979809578489
260016853,23,Faculdade De Medicina Da USP,"Av. Dr. Arnaldo, 455 Ref.: R Teodoro Sampaio/ R Major Natanael",-23.554534,-46.670073,0.0002870676044208411
820012549,23,Parada 1/2/3 - Biblioteca,"Av. Celso Garcia, 4076 Ref.: R Dom Andres Lamas/ R Coronel Carlos Oliva",-23.535857,-46.572975,0.0002870676044208411
80014489,23,Parada 1/2/3 - Marcos Arruda,"Av. Celso Garcia, 1081 Ref.: R Marcos Arruda/ R Sao Leopoldo",-23.538258,-46.60197,9.56892014736137e-05
190013617,23,"Av. Ellis Maas, 456",Ref.: R Manoel Jose Pereira/ Tr Particular Sergio P Urizi,-23.664308,-46.770108,9.56892014736137e-05
360012333,23,"Av. Itaquera, 7214",Ref.: R Waldemar Mancini/ R Benedito Coelho Neto,-23.547245,-46.46129,0.00023922300368403425
760012065,23,"Av. S. Miguel, 9370",Ref.: R Jose Carlos Pedroso/ R Doutor Jose Aranha Campos,-23.492763,-46.448727,0.00014353380221042054
820012486,23,"R. Melo Freire, 0",Ref.: Vdto Conselheiro Carrao/ R Antonio De Barros,-23.536706,-46.557728,9.56892014736137e-05
450011991,23,Francisco Xavier,"Av. Guarapiranga, 1821 Ref.: R Francisco Xavier Rocha/ R Antonio Vaz",-23.667676,-46.730331,0.0005262906081048754
6009463,23,Parada Avelino Carneiro,"R. Cap. Avelino Carneiro, 233 Ref.: R Cap.joão Cesário - Altura Do Nª 233",-23.523309,-46.549071,0.00023922300368403425
700006086,23,Rosa E Silva B/C,"Av. Gen. Olímpio Da Silveira, 33 Ref.: R Olimpia De Almeida Prado/ R Lopes De Oliveira",-23.532847,-46.657404,0.00023922300368403425
190013111,23,"Av. Ellis Maas, 650",Ref.: R Santiago Bonavia/ Av Professor Doutor Telemaco Hippolyto De Macedo Van Langendon,-23.666286,-46.771429,0.0001913784029472274
1114247,23,"Av. Dep. Cantidio Sampaio, 1111",,-23.467738,-46.677927,0.0001913784029472274
710000969,23,"Av. Cruzeiro Do Sul, 2463",Ref.: R Forca Publica/ Av Gen. Ataliba Leonel,-23.509213,-46.625087,0.00023922300368403425
600012363,23,"Av. Amador Bueno Da Veiga, 236",Ref.: R Major Rudge/ R Francisco Coimbra,-23.522976,-46.542372,0.0002870676044208411
9505562,23,"R. Ibitirama, 183",Ref.: 60 Metros Após A Rua Cavour,-23.583311,-46.584852,0.0005262906081048754
230009797,23,"Av. Interlagos, 5945",Ref.: R Professor Adib Casseb/ Av Do Rio Bonito,-23.697612,-46.700335,9.56892014736137e-05
600005670,23,"Av. S. Miguel, 531",Ref.: R Sambaiba/ R Das Provincias,-23.518056,-46.523459,9.56892014736137e-05
600005668,23,"Av. S. Miguel, 923",Ref.: R Colibri/ R Rio Dourado,-23.51585,-46.520772,0.00014353380221042054
5306671,23,"R. Mal. Maurício Cardoso, 140",Ref.: Av Pedro Alvares Cabral / R Abilio Soares,-23.581103,-46.656564,0.0002870676044208411
720010425,23,"R. Isabel Schmidt, 368",Ref.: R Joao Schmidt/ R Comendador Elias Zarzur,-23.651923,-46.702478,0.0002870676044208411
650005658,23,"Av. S. Miguel, 2673",Ref.: R Doutor Piragibe/ R Jairo Fernandes Garcia,-23.510274,-46.505328,9.56892014736137e-05
720010443,23,Parada Dom Francisco De Souza C/B,"Pça. D. Francisco De Souza, 382 Ref.: R Elias A Zogbi/ Pc Dom Francisco De Souza",-23.661619,-46.706269,0.0004306014066312616
650005665,23,"Av. S. Miguel, 1498",Ref.: R Salomao Dana/ R Coronel Darcy Block De Castro,-23.513088,-46.516301,0.00014353380221042054
650005667,23,"Av. S. Miguel, 1282",Ref.: R Jacques Blanche/ R Maria Leocadia,-23.513945,-46.518104,0.0001913784029472274
650005660,23,"Av. S. Miguel, 2275",Ref.: R Olegario De Oliveira/ R Conceicao Do Rio Verde,-23.510974,-46.509212,9.56892014736137e-05
